day,time,activity
friday,21:00,sleeping
friday,21:30,recreation
friday,22:00,recreation
friday,22:30,recreation
friday,23:00,recreation
friday,23:30,family
saturday,0:00,family
saturday,0:30,family
saturday,1:00,sleeping
saturday,1:30,sleeping
saturday,2:00,sleeping
saturday,2:30,sleeping
saturday,3:00,sleeping
saturday,3:30,sleeping
saturday,4:00,sleeping
saturday,4:30,sleeping
saturday,5:00,sleeping
saturday,5:30,sleeping
saturday,6:00,sleeping
saturday,6:30,sleeping
saturday,7:00,sleeping
saturday,7:30,sleeping
saturday,8:00,sleeping
saturday,8:30,sleeping
saturday,9:00,sleeping
saturday,9:30,sleeping
saturday,10:00,showering
saturday,10:30,showering
saturday,11:00,meditating
saturday,11:30,cooking
saturday,12:00,eating
saturday,12:30,studying
saturday,13:00,studying
saturday,13:30,studying
saturday,14:00,studying
saturday,14:30,studying
saturday,15:00,friends
saturday,15:30,friends
saturday,16:00,studying
saturday,16:30,studying
saturday,17:00,studying
saturday,17:30,studying
saturday,18:00,recreation
saturday,18:30,recreation
saturday,19:00,workout
saturday,19:30,workout
saturday,20:00,cooking
saturday,20:30,cooking
saturday,21:00,cooking
saturday,21:30,eating
saturday,22:00,eating
saturday,22:30,studying
saturday,23:00,studying
saturday,23:30,family
sunday,0:00,family
sunday,0:30,family
sunday,1:00,sleeping
sunday,1:30,sleeping
sunday,2:00,sleeping
sunday,2:30,sleeping
sunday,3:00,sleeping
sunday,3:30,sleeping
sunday,4:00,sleeping
sunday,4:30,sleeping
sunday,5:00,sleeping
sunday,5:30,sleeping
sunday,6:00,sleeping
sunday,6:30,sleeping
sunday,7:00,sleeping
sunday,7:30,sleeping
sunday,8:00,sleeping
sunday,8:30,sleeping
sunday,9:00,sleeping
sunday,9:30,sleeping
sunday,10:00,sleeping
sunday,10:30,sleeping
sunday,11:00,showering
sunday,11:30,meditating
sunday,12:00,studying
sunday,12:30,studying
sunday,13:00,studying
sunday,13:30,cooking
sunday,14:00,eating
sunday,14:30,studying
sunday,15:00,studying
sunday,15:30,working
sunday,16:00,working
sunday,16:30,working
sunday,17:00,working
sunday,17:30,recreation
sunday,18:00,shopping
sunday,18:30,shopping
sunday,19:00,recreation
sunday,19:30,cooking
sunday,20:00,cooking
sunday,20:30,eating
sunday,21:00,recreation
sunday,21:30,recreation
sunday,22:00,recreation
sunday,22:30,family
sunday,23:00,family
sunday,23:30,family
